Class,FL_B,FL_A,VS,FL_B_3,FL_A_3,FL_B_12,FL_A_12,Container Type,Recyclable fraction
Emptying,60.9,43.9,8.0,91.4,47.2,93.1,20.9,Rectangular Farmland,Recyclable
Emptying,93.8,61.1,7.0,92.1,44.9,82.2,45.9,Malmobehallare,Recyclable
Emptying,90.6,41.8,7.0,87.5,55.3,84.4,45.0,Silvertop-a,Non Recyclable
Non Emptying,50.8,50.9,2.0,64.4,22.5,68.6,56.6,BIM-3 FTI bottentomd,Recyclable
Emptying,63.3,31.5,6.0,72.3,59.8,93.7,52.2,Rectangular,Recyclable
Non Emptying,60.6,20.9,2.0,56.4,21.7,31.1,57.9,Cubic,Mixed
Non Emptying,56.6,22.1,5.0,55.1,31.1,59.4,53.1,Accordion,Non Recyclable
Non Emptying,65.5,53.6,5.0,74.3,61.0,52.0,66.0,Lindstrom City,Recyclable
Emptying,95.2,67.4,6.0,89.2,24.0,90.6,33.7,Rectangular Farmland,Mixed
Emptying,80.8,63.4,9.0,62.2,37.2,74.3,33.1,BIM-3 FTI bottentomd,Mixed
Non Emptying,58.3,25.1,5.0,52.0,35.2,55.7,33.7,Fiberglass Igloo-a,Non Recyclable
Non Emptying,62.3,36.4,2.0,59.6,21.2,59.9,54.6,Cubic,Non Recyclable
Emptying,70.4,47.1,6.0,94.4,21.4,93.7,51.2,Cubic,Recyclable
Non Emptying,73.2,32.1,3.0,72.0,27.6,54.2,33.7,Lindstrom-a,Recyclable
Emptying,87.3,68.4,9.0,91.3,50.9,83.6,42.5,Malmobehallare,Non Recyclable
Non Emptying,67.2,38.2,2.0,54.6,31.2,73.2,26.6,BIM-3 FTI bottentomd,Mixed
Emptying,83.0,51.8,9.0,86.3,26.2,90.3,24.7,Lindstrom-a,Mixed
Non Emptying,65.1,34.1,5.0,32.1,65.2,63.0,36.6,Cubic,Mixed
Emptying,92.7,33.4,9.0,84.8,30.6,98.1,55.5,Cubic,Mixed
Emptying,98.8,66.2,7.0,96.5,23.1,98.7,54.5,Silvertop-a,Recyclable
Non Emptying,53.9,52.8,2.0,60.8,20.5,73.2,31.9,Diamond,Non Recyclable
Non Emptying,62.9,55.6,4.0,54.9,61.9,34.3,29.0,Silvertop-b,Mixed
Non Emptying,36.4,53.6,3.0,69.0,67.3,50.2,36.0,Diamond,Mixed
Non Emptying,51.5,37.5,2.0,63.7,38.6,69.1,53.5,Cubic,Mixed
Non Emptying,38.8,33.6,5.0,51.7,52.7,62.5,21.0,BIM-3 FTI bottentomd,Recyclable
Emptying,82.9,56.5,6.0,76.3,29.4,63.1,51.0,Accordion,Mixed
Emptying,85.8,53.6,8.0,75.4,51.9,72.5,30.1,Accordion,Non Recyclable
Emptying,71.4,38.5,7.0,99.7,67.9,93.7,55.4,Rectangular,Recyclable
Non Emptying,53.6,55.0,5.0,64.6,57.7,58.1,35.9,Lindstrom City,Recyclable
Emptying,83.7,47.8,8.0,80.9,28.8,95.9,49.9,Fiberglass Igloo-a,Non Recyclable
Emptying,84.7,20.2,6.0,72.9,39.6,63.1,49.7,Silvertop-a,Recyclable
Emptying,65.7,30.5,9.0,82.1,46.6,68.2,51.9,Lindstrom-a,Mixed
Non Emptying,72.9,33.5,8.0,99.4,64.6,94.0,46.2,Lindstrom-a,Recyclable
Emptying,65.4,55.2,6.0,81.1,36.3,92.5,48.4,Rectangular Farmland,Recyclable
Non Emptying,70.6,41.2,6.0,64.9,51.4,84.1,45.9,Rectangular Farmland,Non Recyclable
Emptying,88.0,64.7,6.0,72.5,61.0,73.4,56.0,Silvertop-a,Non Recyclable
Non Emptying,65.8,35.3,1.0,62.5,61.2,67.1,56.2,Silvertop-b,Mixed
Non Emptying,30.4,34.1,2.0,62.0,34.6,53.0,31.7,Lindstrom-b,Mixed
Emptying,78.8,56.6,8.0,87.0,68.4,63.6,53.6,Fiberglass Igloo-a,Non Recyclable
Emptying,81.4,43.5,6.0,77.0,56.6,97.5,50.6,Lindstrom-a,Non Recyclable
Non Emptying,77.1,35.8,1.0,31.2,64.4,55.4,53.7,Diamond,Mixed
Emptying,87.8,57.1,9.0,92.6,34.1,86.7,64.7,Silvertop-a,Mixed
Emptying,84.6,60.5,6.0,84.9,34.8,73.0,22.0,Silvertop-b,Recyclable
Emptying,98.9,57.7,7.0,87.5,56.9,73.8,31.7,Silvertop-b,Non Recyclable
Emptying,86.7,51.5,6.0,84.0,31.9,96.4,53.5,Malmobehallare,Recyclable
Non Emptying,38.1,28.0,3.0,35.0,51.0,54.3,25.3,Accordion,Non Recyclable
Non Emptying,61.6,26.5,2.0,32.6,63.1,60.5,35.3,Lindstrom-b,Non Recyclable
Non Emptying,59.9,55.6,4.0,67.0,57.3,56.2,36.5,Diamond,Recyclable
Non Emptying,60.6,35.9,4.0,59.2,22.4,73.4,57.4,Accordion,Non Recyclable
Emptying,98.2,20.9,9.0,63.8,41.2,94.9,54.9,Silvertop-a,Recyclable
Non Emptying,53.2,50.5,4.0,76.7,56.0,30.7,37.2,Malmobehallare,Non Recyclable
Emptying,93.3,25.6,6.0,71.7,52.4,83.9,26.0,Silvertop-b,Mixed
Non Emptying,69.7,53.4,3.0,60.3,64.5,62.6,56.4,Lindstrom-a,Non Recyclable
Emptying,88.1,39.7,8.0,74.2,62.9,80.1,52.7,Fiberglass Igloo-b,Mixed
Non Emptying,58.4,57.4,2.0,57.6,58.6,64.5,31.9,Silvertop-a,Non Recyclable
Non Emptying,75.3,36.6,4.0,74.0,30.7,52.7,62.6,Fiberglass Igloo-b,Mixed
Emptying,96.5,55.2,8.0,60.5,33.5,92.5,44.0,Accordion,Non Recyclable
Non Emptying,59.5,22.6,1.0,57.2,52.1,57.1,55.1,Accordion,Non Recyclable
Non Emptying,56.9,24.6,5.0,57.5,66.5,70.5,25.4,Rectangular,Non Recyclable
Emptying,90.7,22.8,7.0,86.1,29.9,70.4,43.5,Rectangular Farmland,Recyclable
Emptying,81.2,54.6,7.0,61.9,50.9,96.5,54.4,Fiberglass Igloo-b,Recyclable
Emptying,69.3,53.8,9.0,61.0,40.1,87.5,54.5,Lindstrom City,Mixed
Emptying,64.0,31.3,7.0,82.5,39.0,96.2,28.5,Silvertop-a,Mixed
Emptying,87.7,50.4,8.0,75.9,54.8,81.8,44.0,Malmobehallare,Mixed
Non Emptying,64.0,50.0,5.0,65.9,64.5,36.4,51.7,BIM-3 FTI bottentomd,Non Recyclable
Emptying,82.5,69.1,9.0,60.5,58.6,64.6,50.1,Silvertop-a,Non Recyclable
Emptying,80.7,66.8,6.0,95.1,44.3,61.0,50.4,Rectangular,Mixed
Emptying,66.0,50.2,9.0,86.2,56.2,80.2,52.9,Diamond,Recyclable
Emptying,96.9,67.8,6.0,94.5,63.7,92.2,67.2,Rectangular Farmland,Mixed
Emptying,98.6,59.1,9.0,90.6,31.0,84.9,42.1,Lindstrom City,Mixed
Non Emptying,57.6,22.9,3.0,66.9,24.0,54.4,22.0,Lindstrom-b,Mixed
Emptying,92.7,51.7,9.0,91.0,63.5,92.5,49.4,Diamond,Mixed
Non Emptying,52.8,36.3,1.0,67.5,55.7,60.7,33.2,Lindstrom-b,Recyclable
Emptying,96.4,29.7,8.0,85.4,53.7,81.5,32.3,Malmobehallare,Mixed
Non Emptying,68.2,56.5,2.0,34.8,61.5,58.1,27.0,Lindstrom City,Mixed
Non Emptying,39.3,24.8,4.0,77.0,23.2,75.0,33.4,Fiberglass Igloo-b,Mixed
Non Emptying,61.0,27.9,4.0,69.4,38.1,59.6,25.9,BIM-3 FTI bottentomd,Recyclable
Emptying,83.7,53.7,7.0,83.3,60.2,92.1,31.6,Rectangular,Recyclable
Emptying,70.7,65.8,6.0,80.3,55.7,66.9,51.6,Lindstrom City,Mixed
Emptying,92.4,37.9,9.0,91.1,38.4,98.4,61.4,Rectangular,Mixed
Emptying,84.5,59.9,9.0,90.6,44.6,98.9,36.4,Rectangular Farmland,Recyclable
Non Emptying,59.5,37.5,3.0,50.3,63.3,55.9,67.6,Lindstrom City,Mixed
Non Emptying,74.8,35.2,3.0,63.0,68.6,58.6,38.7,Accordion,Non Recyclable
Non Emptying,74.1,26.7,2.0,30.0,58.7,76.8,30.9,Cubic,Non Recyclable
Emptying,82.5,65.0,7.0,88.3,54.8,79.1,32.8,Rectangular,Recyclable
Non Emptying,50.2,51.6,5.0,63.6,34.7,72.5,33.6,Fiberglass Igloo-b,Recyclable
Non Emptying,37.3,23.1,2.0,61.5,66.8,60.5,32.2,Diamond,Non Recyclable
Non Emptying,62.4,64.7,4.0,65.2,52.9,68.4,31.0,Fiberglass Igloo-b,Mixed
Non Emptying,70.1,68.2,3.0,52.5,34.1,67.5,36.1,Fiberglass Igloo-a,Mixed
Emptying,91.1,54.0,7.0,88.8,60.0,90.2,50.6,Silvertop-a,Non Recyclable
Non Emptying,54.8,57.2,1.0,68.4,57.3,51.9,54.8,BIM-3 FTI bottentomd,Recyclable
Emptying,92.2,30.2,6.0,72.3,30.2,72.5,54.7,Fiberglass Igloo-a,Non Recyclable
Non Emptying,59.4,36.6,1.0,77.2,23.1,66.2,51.4,Diamond,Mixed
Emptying,61.5,51.9,8.0,98.5,27.4,82.0,41.6,Cubic,Non Recyclable
Emptying,93.3,58.6,8.0,93.2,60.7,86.0,24.3,BIM-3 FTI bottentomd,Recyclable
Emptying,90.2,62.2,8.0,78.5,50.4,60.3,61.6,Diamond,Non Recyclable
Emptying,65.3,57.4,8.0,83.6,52.6,98.9,42.0,Lindstrom City,Mixed
Non Emptying,71.2,31.1,5.0,72.0,53.0,53.5,51.2,Fiberglass Igloo-a,Non Recyclable
Emptying,95.0,32.4,6.0,83.4,54.3,85.0,58.2,Fiberglass Igloo-b,Non Recyclable
Non Emptying,30.2,31.4,5.0,52.1,23.6,65.0,61.7,Silvertop-a,Non Recyclable
Non Emptying,78.1,32.3,2.0,51.3,52.0,70.8,56.5,Accordion,Mixed
Emptying,92.9,23.1,6.0,92.8,49.5,74.5,45.5,Rectangular Farmland,Recyclable
Emptying,81.7,69.9,9.0,90.7,56.6,84.7,44.1,Fiberglass Igloo-b,Mixed
Emptying,62.9,55.0,6.0,84.5,32.8,70.7,41.8,Silvertop-b,Non Recyclable
Non Emptying,51.7,53.3,5.0,74.1,32.2,58.9,51.2,Accordion,Non Recyclable
Emptying,74.2,40.3,6.0,94.2,52.8,83.7,60.0,Silvertop-b,Non Recyclable
Emptying,95.9,52.6,6.0,70.3,31.0,91.3,54.8,Silvertop-b,Non Recyclable
Emptying,92.6,43.3,6.0,72.5,49.0,92.8,52.4,Lindstrom-a,Recyclable
Emptying,82.7,24.9,6.0,90.8,60.9,70.3,41.1,Lindstrom City,Recyclable
Emptying,60.7,59.4,8.0,81.0,63.2,92.1,45.6,Rectangular,Non Recyclable
Emptying,92.9,54.4,6.0,83.6,69.9,94.1,51.5,Rectangular Farmland,Mixed
Emptying,89.4,44.4,9.0,92.8,34.5,80.2,29.0,Silvertop-a,Recyclable
Non Emptying,32.2,55.1,2.0,74.2,59.0,74.7,33.6,Silvertop-a,Mixed
Non Emptying,61.4,66.3,5.0,58.7,26.9,63.2,51.6,Fiberglass Igloo-a,Mixed
Non Emptying,68.6,38.6,2.0,64.3,62.0,65.8,35.9,Fiberglass Igloo-b,Recyclable
Non Emptying,76.8,36.3,5.0,67.6,32.8,57.7,55.8,Cubic,Mixed
Non Emptying,54.5,20.7,5.0,67.4,57.8,31.1,60.8,Lindstrom-a,Mixed
Non Emptying,63.7,60.6,5.0,55.2,23.8,38.3,53.8,Rectangular,Non Recyclable
Emptying,94.7,69.6,9.0,92.3,34.0,88.4,52.3,Silvertop-a,Recyclable
Non Emptying,59.1,53.4,3.0,62.7,21.8,77.8,50.0,Cubic,Mixed
Emptying,80.5,24.1,9.0,83.7,68.3,84.3,64.8,Lindstrom-a,Recyclable
Non Emptying,57.4,38.7,4.0,62.1,31.7,60.5,63.2,Malmobehallare,Non Recyclable
Non Emptying,64.9,27.9,2.0,33.9,22.8,50.2,52.3,Fiberglass Igloo-a,Mixed
Emptying,79.5,44.0,8.0,84.0,57.7,85.3,38.7,Fiberglass Igloo-b,Mixed
Emptying,80.6,57.7,6.0,96.1,42.2,71.4,55.5,Lindstrom-b,Mixed
Emptying,91.6,54.7,6.0,82.5,50.0,95.5,23.0,Malmobehallare,Non Recyclable
Non Emptying,68.4,24.5,4.0,55.9,21.2,78.8,30.2,Silvertop-a,Non Recyclable
Emptying,62.8,48.8,6.0,84.3,56.5,94.4,41.3,Silvertop-b,Recyclable
Non Emptying,56.7,60.3,3.0,53.1,55.4,71.5,55.9,Malmobehallare,Non Recyclable
Emptying,90.2,60.9,8.0,87.7,40.9,87.2,52.1,Rectangular Farmland,Recyclable
Non Emptying,55.2,31.7,2.0,72.1,50.8,33.6,67.9,Diamond,Non Recyclable
Emptying,72.8,51.1,8.0,96.6,53.9,91.6,49.3,Lindstrom-a,Recyclable
Non Emptying,56.4,38.3,2.0,34.2,53.7,65.3,31.2,Silvertop-b,Non Recyclable
Emptying,64.3,59.7,7.0,61.7,40.9,87.7,61.0,Fiberglass Igloo-b,Mixed
Non Emptying,54.3,51.6,5.0,30.4,31.4,70.4,54.8,Cubic,Mixed
Non Emptying,78.8,53.5,3.0,54.5,57.8,63.1,51.8,Cubic,Non Recyclable
Non Emptying,61.0,28.4,2.0,64.6,32.5,61.8,35.6,Diamond,Non Recyclable
Emptying,62.4,49.4,8.0,83.4,22.8,97.6,65.6,Lindstrom-a,Mixed
Non Emptying,54.2,55.7,1.0,53.3,24.0,60.7,28.8,Fiberglass Igloo-b,Mixed
Non Emptying,72.3,32.9,5.0,74.5,23.5,39.2,55.1,Rectangular Farmland,Non Recyclable
Non Emptying,58.6,34.3,2.0,65.9,53.1,56.2,68.2,Fiberglass Igloo-b,Recyclable
Non Emptying,72.2,30.5,1.0,62.2,20.2,72.6,54.7,Fiberglass Igloo-b,Mixed
Emptying,62.8,28.4,6.0,69.1,51.5,79.1,21.0,Fiberglass Igloo-b,Non Recyclable
Non Emptying,30.6,35.2,5.0,56.2,66.7,53.4,38.2,Malmobehallare,Recyclable
Emptying,92.1,53.7,7.0,83.2,54.6,99.2,23.7,Fiberglass Igloo-a,Non Recyclable
Non Emptying,74.7,32.8,5.0,68.8,62.6,71.7,54.4,Accordion,Recyclable
Emptying,95.9,59.7,8.0,92.3,35.5,60.3,67.9,Lindstrom-a,Mixed
Emptying,82.4,24.5,6.0,86.3,40.5,90.2,30.5,Lindstrom-a,Mixed
Emptying,88.5,43.1,7.0,98.2,53.0,90.9,68.6,Accordion,Recyclable
Non Emptying,66.7,32.3,2.0,63.4,35.1,31.5,68.8,Lindstrom-a,Mixed
Emptying,72.7,21.8,6.0,94.5,34.2,94.2,69.2,Rectangular,Recyclable
Emptying,79.0,51.0,6.0,93.3,51.2,75.8,53.7,BIM-3 FTI bottentomd,Non Recyclable
Emptying,86.6,53.9,8.0,81.1,53.1,87.3,60.0,Silvertop-b,Mixed
Non Emptying,69.7,38.9,1.0,65.6,52.0,60.0,26.1,Fiberglass Igloo-a,Non Recyclable
Emptying,81.1,41.9,6.0,93.0,52.4,88.1,46.4,BIM-3 FTI bottentomd,Non Recyclable
Emptying,76.5,23.2,6.0,97.9,20.9,93.5,65.7,Accordion,Non Recyclable
Emptying,84.4,46.5,9.0,86.9,59.3,92.7,55.7,Lindstrom City,Mixed
Non Emptying,58.3,61.7,4.0,34.2,30.5,51.8,68.6,Accordion,Recyclable
Non Emptying,72.0,56.0,1.0,33.3,51.1,72.9,61.0,BIM-3 FTI bottentomd,Mixed
Emptying,66.4,34.7,6.0,76.7,50.3,72.8,49.9,Diamond,Recyclable
Non Emptying,37.7,52.9,3.0,54.6,66.8,65.1,51.0,Lindstrom-b,Non Recyclable
Emptying,94.4,44.8,6.0,87.4,40.6,67.9,39.2,Fiberglass Igloo-b,Recyclable
Non Emptying,72.1,56.5,1.0,53.0,54.4,34.9,60.7,Silvertop-a,Mixed
Non Emptying,53.4,34.9,1.0,32.8,50.1,35.3,55.8,Fiberglass Igloo-a,Recyclable
Non Emptying,60.4,58.9,1.0,66.4,34.4,55.1,24.1,BIM-3 FTI bottentomd,Non Recyclable
Emptying,79.5,63.7,7.0,71.0,44.3,89.4,23.4,Fiberglass Igloo-a,Recyclable
Emptying,90.6,59.2,7.0,61.6,63.1,93.8,30.7,Diamond,Non Recyclable
Emptying,95.0,64.0,9.0,78.1,52.0,72.1,28.7,Lindstrom-a,Non Recyclable
Non Emptying,57.2,53.3,4.0,72.7,26.4,64.0,61.4,Accordion,Mixed
Emptying,81.7,52.1,6.0,94.4,59.3,75.1,53.3,Accordion,Mixed
Non Emptying,65.6,26.8,3.0,76.8,51.6,77.0,60.1,Silvertop-a,Mixed
Non Emptying,50.5,27.2,1.0,71.6,26.1,68.5,34.4,Silvertop-b,Non Recyclable
Emptying,89.7,56.0,7.0,73.9,62.7,86.6,51.7,Fiberglass Igloo-b,Mixed
Non Emptying,73.2,54.3,2.0,50.4,21.8,62.7,50.5,Fiberglass Igloo-a,Recyclable
Emptying,90.0,67.0,9.0,83.0,41.1,90.0,59.9,Silvertop-a,Non Recyclable
Emptying,92.0,49.3,7.0,86.9,52.3,73.8,53.9,Accordion,Recyclable
Emptying,87.5,59.2,7.0,83.9,43.5,76.9,44.2,Rectangular Farmland,Recyclable
Emptying,85.0,53.4,8.0,89.2,40.8,92.3,55.2,BIM-3 FTI bottentomd,Recyclable
Emptying,92.5,50.3,6.0,94.7,40.6,80.2,43.7,Diamond,Recyclable
Non Emptying,61.7,54.5,4.0,30.5,32.8,73.9,50.9,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,73.7,68.7,2.0,62.4,55.3,57.0,21.6,Lindstrom-a,Non Recyclable
Emptying,83.3,40.6,6.0,98.5,53.7,87.0,53.7,Lindstrom City,Non Recyclable
Non Emptying,63.2,32.7,4.0,61.7,24.9,53.9,35.6,Malmobehallare,Recyclable
Non Emptying,63.3,55.3,5.0,70.4,63.9,69.0,21.6,Fiberglass Igloo-a,Mixed
Emptying,80.6,40.8,6.0,98.7,23.5,90.5,58.5,Lindstrom City,Mixed
Emptying,64.5,41.8,6.0,73.2,52.7,86.0,51.8,Fiberglass Igloo-a,Mixed
Emptying,98.3,56.0,6.0,84.3,59.4,85.5,52.9,Fiberglass Igloo-b,Recyclable
Non Emptying,55.0,26.1,1.0,53.7,38.1,70.1,26.0,Rectangular,Mixed
Emptying,71.1,60.5,8.0,92.2,32.9,65.6,58.9,Silvertop-b,Non Recyclable
Non Emptying,36.8,35.9,1.0,38.3,34.9,35.3,24.6,Silvertop-a,Recyclable
Emptying,92.3,54.9,9.0,97.7,32.2,90.5,42.8,Accordion,Mixed
Emptying,99.0,26.2,6.0,83.4,50.8,84.1,43.0,Fiberglass Igloo-b,Recyclable
Emptying,62.0,36.6,7.0,86.3,50.2,95.5,50.0,Rectangular Farmland,Non Recyclable
Non Emptying,62.6,25.4,1.0,69.5,51.8,53.3,53.8,Lindstrom-b,Mixed
Emptying,81.3,59.1,6.0,93.3,22.1,83.5,45.2,Rectangular Farmland,Non Recyclable
Emptying,94.1,51.4,7.0,88.3,31.8,98.6,57.9,Diamond,Mixed
Non Emptying,53.3,31.0,3.0,74.4,25.6,38.7,32.8,Silvertop-a,Recyclable
Non Emptying,61.7,34.8,2.0,66.5,25.2,60.4,33.2,Fiberglass Igloo-a,Mixed
Emptying,82.4,54.6,9.0,83.7,40.1,79.4,30.1,Cubic,Recyclable
Non Emptying,54.4,58.8,3.0,57.3,55.1,64.6,22.5,Fiberglass Igloo-b,Mixed
Non Emptying,56.7,52.8,3.0,52.9,27.1,57.1,30.2,Rectangular,Recyclable
Non Emptying,72.1,38.8,3.0,35.1,33.8,62.8,34.5,Malmobehallare,Mixed
Non Emptying,58.3,69.0,4.0,52.9,37.7,69.8,67.4,Cubic,Recyclable
Emptying,80.6,51.3,9.0,87.3,51.6,83.0,46.3,Fiberglass Igloo-b,Mixed
Non Emptying,73.1,31.2,3.0,72.7,32.6,53.5,61.8,Lindstrom-a,Mixed
Emptying,65.3,39.6,7.0,90.3,37.8,88.1,65.5,BIM-3 FTI bottentomd,Mixed
Non Emptying,35.9,20.6,5.0,51.0,56.2,57.0,38.8,Accordion,Mixed
Emptying,99.0,23.8,6.0,64.2,52.2,61.1,67.6,Fiberglass Igloo-a,Mixed
Non Emptying,52.9,54.3,1.0,80.0,66.5,73.5,55.4,Silvertop-b,Non Recyclable
Non Emptying,52.3,33.2,2.0,36.2,53.8,53.2,54.5,Silvertop-b,Non Recyclable
Non Emptying,63.6,20.3,1.0,64.7,34.4,61.9,58.0,Fiberglass Igloo-b,Recyclable
Non Emptying,61.0,64.8,1.0,76.6,33.0,61.5,36.2,Cubic,Non Recyclable
Emptying,90.1,54.3,9.0,99.3,33.0,71.9,51.8,Cubic,Mixed
Emptying,97.1,56.5,8.0,85.8,30.7,94.4,28.3,Accordion,Non Recyclable
Non Emptying,50.7,35.7,3.0,67.9,60.9,64.7,33.9,Lindstrom City,Recyclable
Emptying,84.1,42.7,6.0,95.9,34.3,71.5,51.7,Lindstrom City,Recyclable
Non Emptying,51.7,57.4,5.0,62.4,53.7,69.2,51.9,Rectangular Farmland,Mixed
Non Emptying,53.3,51.3,3.0,58.9,26.3,74.2,54.1,Silvertop-a,Mixed
Non Emptying,71.4,56.2,2.0,62.8,60.7,62.1,64.9,Lindstrom-a,Non Recyclable
Non Emptying,39.2,31.8,5.0,33.2,64.1,51.5,55.8,Rectangular Farmland,Recyclable
Emptying,89.2,60.7,8.0,82.7,63.9,72.9,66.0,Lindstrom City,Mixed
Emptying,91.7,31.1,6.0,87.5,44.7,97.3,55.3,Rectangular,Mixed
Emptying,96.2,68.1,7.0,99.1,53.8,83.8,54.7,Lindstrom-a,Mixed
Emptying,74.3,64.5,9.0,96.5,54.3,64.1,48.2,Lindstrom-a,Mixed
Non Emptying,64.9,60.5,3.0,34.4,30.8,61.3,66.1,Diamond,Mixed
Emptying,89.0,60.4,7.0,74.4,51.7,81.5,52.6,Lindstrom-b,Mixed
Non Emptying,30.1,62.3,4.0,30.3,25.6,62.7,26.3,Silvertop-b,Mixed
Non Emptying,54.7,35.1,5.0,35.3,21.1,61.6,56.7,Cubic,Mixed
Non Emptying,71.0,31.3,4.0,53.9,60.8,54.8,24.2,Cubic,Recyclable
Emptying,88.1,20.6,7.0,85.5,50.9,99.5,54.6,Diamond,Recyclable
Non Emptying,65.7,33.9,3.0,64.2,53.0,38.4,51.2,Rectangular Farmland,Recyclable
Non Emptying,53.2,62.7,5.0,72.6,55.1,60.5,51.7,Silvertop-a,Mixed
Non Emptying,59.2,26.8,3.0,34.3,35.0,67.7,28.7,Accordion,Recyclable
Emptying,87.4,53.9,6.0,83.5,35.6,71.0,50.9,BIM-3 FTI bottentomd,Non Recyclable
Emptying,99.0,65.2,9.0,61.1,39.7,95.5,57.6,Fiberglass Igloo-b,Mixed
Non Emptying,78.7,32.4,5.0,51.1,53.5,30.9,63.9,Rectangular Farmland,Mixed
Non Emptying,51.2,27.9,4.0,75.5,65.4,31.8,60.1,Accordion,Non Recyclable
Non Emptying,52.7,37.6,5.0,65.0,33.8,74.3,36.9,Fiberglass Igloo-b,Recyclable
Emptying,80.5,52.9,6.0,96.3,54.2,82.1,50.7,Fiberglass Igloo-a,Mixed
Non Emptying,36.3,30.6,5.0,36.9,63.2,64.4,23.5,Rectangular Farmland,Recyclable
Non Emptying,54.6,38.9,5.0,60.6,31.4,76.3,53.2,Diamond,Mixed
Emptying,80.5,34.7,8.0,98.4,59.1,68.4,37.1,Rectangular Farmland,Recyclable
Non Emptying,50.1,21.5,2.0,61.8,57.5,63.5,22.7,Fiberglass Igloo-b,Mixed
Emptying,98.0,45.2,9.0,83.2,60.6,87.0,28.2,Cubic,Recyclable
Emptying,88.4,51.6,6.0,96.0,51.6,70.9,44.2,BIM-3 FTI bottentomd,Mixed
Non Emptying,66.3,34.5,1.0,60.4,54.6,33.3,30.5,Silvertop-b,Recyclable
Emptying,84.7,42.8,9.0,88.9,30.9,81.6,44.2,Fiberglass Igloo-a,Non Recyclable
Non Emptying,78.9,55.6,1.0,34.0,30.3,75.9,50.0,BIM-3 FTI bottentomd,Mixed
Emptying,94.8,42.6,6.0,83.3,36.2,69.0,54.9,Lindstrom City,Recyclable
Emptying,84.6,21.9,6.0,95.1,59.4,95.8,51.5,Fiberglass Igloo-a,Non Recyclable
Non Emptying,52.9,55.9,4.0,34.6,56.2,52.5,21.8,BIM-3 FTI bottentomd,Mixed
Emptying,72.7,25.8,8.0,95.1,22.4,62.6,24.7,Lindstrom City,Mixed
Non Emptying,76.5,26.4,3.0,52.0,24.1,57.3,54.7,Rectangular,Non Recyclable
Non Emptying,73.3,33.6,1.0,63.0,65.7,59.8,63.6,Lindstrom City,Recyclable
Emptying,71.2,31.3,6.0,92.5,31.9,84.0,31.8,Fiberglass Igloo-a,Recyclable
Emptying,83.5,30.0,9.0,86.0,44.8,86.6,33.7,Fiberglass Igloo-a,Non Recyclable
Non Emptying,55.5,36.7,5.0,74.0,51.5,52.2,55.5,Fiberglass Igloo-a,Non Recyclable
Non Emptying,54.3,60.9,3.0,51.3,57.6,56.0,63.1,Diamond,Recyclable
Emptying,94.6,40.1,7.0,63.0,52.8,98.3,32.9,Silvertop-a,Mixed
Emptying,61.4,44.1,9.0,80.3,51.4,83.6,56.9,Cubic,Mixed
Emptying,81.5,51.6,9.0,81.3,42.2,82.2,22.1,Rectangular Farmland,Recyclable
Emptying,78.6,57.9,6.0,95.6,49.2,82.4,63.5,Fiberglass Igloo-b,Recyclable
Emptying,98.4,52.2,7.0,62.0,35.2,81.0,43.7,Lindstrom-a,Recyclable
Emptying,75.8,42.4,6.0,80.8,59.5,87.2,32.9,Silvertop-a,Mixed
Emptying,89.8,25.4,8.0,61.3,52.7,82.7,32.4,Fiberglass Igloo-b,Mixed
Emptying,81.4,52.7,6.0,99.8,59.6,99.5,25.7,Cubic,Non Recyclable
Non Emptying,30.3,65.0,4.0,35.0,26.4,54.5,63.1,Lindstrom-a,Non Recyclable
Emptying,76.0,57.1,7.0,85.6,40.6,86.2,52.9,Fiberglass Igloo-a,Mixed
Emptying,66.0,34.2,6.0,70.6,47.8,92.1,54.1,Lindstrom-b,Non Recyclable
Non Emptying,53.1,51.0,2.0,62.2,58.7,63.4,61.2,Cubic,Recyclable
Emptying,84.1,32.6,6.0,70.7,50.8,70.0,57.6,Silvertop-a,Recyclable
Emptying,90.5,20.3,6.0,92.6,32.1,97.7,48.5,Lindstrom-a,Non Recyclable
Emptying,96.0,55.3,6.0,65.8,58.7,80.9,57.4,Diamond,Mixed
Non Emptying,58.4,58.1,2.0,66.9,36.7,52.7,56.0,Cubic,Recyclable
Emptying,95.8,67.3,6.0,85.9,47.0,91.2,49.3,Lindstrom-b,Mixed
Non Emptying,66.2,35.0,5.0,76.9,30.7,53.5,34.3,Lindstrom-a,Non Recyclable
Emptying,78.3,53.9,9.0,69.2,55.4,80.2,29.4,BIM-3 FTI bottentomd,Mixed
Emptying,90.4,49.5,9.0,91.9,33.3,80.2,52.0,Fiberglass Igloo-a,Non Recyclable
Emptying,76.8,47.4,7.0,61.2,52.9,81.9,34.5,Rectangular,Non Recyclable
Non Emptying,79.9,26.7,4.0,64.4,37.1,50.9,55.6,Fiberglass Igloo-a,Non Recyclable
Non Emptying,67.4,20.8,1.0,50.6,25.3,32.5,28.7,Malmobehallare,Mixed
Non Emptying,66.8,58.4,1.0,54.7,50.8,54.2,34.8,Silvertop-a,Non Recyclable
Non Emptying,54.6,52.3,4.0,61.1,38.0,55.0,54.0,Fiberglass Igloo-a,Recyclable
